Number|Title|Author|InternetAddress|Rating|In stock|Comments|Publisher|Date of publication|ISBN|PullOut
28|Plants for Shade.|Knight. F. P.||3|1|A small but informative booklet listing plants that can be grown in shady positions with a few cultivation details.|Royal Horticultural Society.|1980|0-900629-78-9|0
29|Hedges and Screens.|Shepherd. F.W.||3|1|A small but informative booklet giving details of all the hedging plants being grown in the R.H.S. gardens at Wisley in Surrey.|Royal Horticultural Society.|1974|0900629649|0
30|Butterflies and Moths in Britain and Europe.|Carter D.||3|1|An excellent book on Lepidoptera, it also lists their favourite food plants.|Pan|1982|0-330-26642-x|0
31|Shade Plants for Garden and Woodland.|Brown.||2|1|||||0
32|Commonsense Compost Making.|Bruce. M. E.||4|1|Excellent little booklet dealing with how to make compost by using herbs to activate the heap. Gives full details of the herbs that are used.|Faber|1977|0-571-09990-4|0
33|Rare Vegetables for Garden and Table.|Organ. J.||4|1|Unusual vegetables that can be grown outdoors in Britain. A good guide.|Faber|1960|-|0
34|The Oxford Book of Food Plants.|Harrison. S. Wallis. M. Masefield. G.||3|1|Good drawings of some of the more common food plants from around the world. Not much information though.|Oxford University Press|1975|-|0
35|Herbal Review. Vol.11. 4.|The Herb Society||2|1||The Herb Society|1986|0264-9853|0
36|Herbal Review. Vol.11. 3.|The Herb Society||3|1|A very interesting article on the stinging nettle, Urtica dioica, giving a lot of information on its uses. Also details on Tanacetum parthenifolium and Melaleuca alternifolium.|The Herb Society|1986|0264-9853|0
37|The Gardener's Assistant.|Thompson. B.||5|1|Excellent general but extensive guide to gardening practices in the 19th century. A very good section on fruits and vegetables with many little known species.|Blackie and Son.|1878|-|0
38|Simmons' Manual of Fruit.|Simmons A. E.||4|1|A good guide to some of the cultivars of temperate fruits. It covers quite a wide range of fruits.|David & Charles.|1978|0-7153-7607-1|0
39|Planting Fruit Trees.|Genders. R.||3|1|A general book on growing fruit in Britain, it does give some descriptions of little known cultivars.|Robert Hale Ltd.|1956|-|0
40|Scott's Fruit Catalogue. 1985 edition.|Scott's Nursery||2|1|A nursery catalogue giving descriptions of the wide range of trees and shrubs they grow, including a good range of apples.|Scott's Nursery|1985|-|0
41|Good Fruit Guide.|Hills. L.||1|1|Very dated now, it lists a good range of fruit trees and shrubs with brief descriptions of most of them and details of where they can be obtained.|Henry Doubleday Research Ass.|||0
42|Hardy Bulbs.|Grey. C. H.||4|0|Rather dated now, but an immense work on bulbs for temperate zones and how to grow them. Three large volumes.|Williams & Norgate.|1938|-|0
43|Gray's Manual of Botany.|Fernald. M. L.||4|0|A bit dated but good and concise flora of the eastern part of N. America.|American Book Co.|1950|-|0
44|Flora of New Zealand.|Allan. H. H.||5|0|The standard work, in 3 volumes though only the first two are of interest to the plant project. Very good on habitats.|Government Printer, Wellington.|1961|-|0
45|Flowers of Greece and the Balkans.|Polunin. O.||4|0|A good pocket flora, it also lists quite a few plant uses.|Oxford University Press|1980|0-19-217626-9|0
46|Dictionary of Economic Plants.|Uphof. J. C. Th.||5|0|An excellent and very comprehensive guide but it only gives very short descriptions of the uses without any details of how to utilize the plants. Not for the casual reader.|Weinheim|1959|-|1
47|Growing Lilies.|Fox. D.||3|1|A lovely and very readable book dealing with the cultivation of the genus Lilium.|Croom Helm|1985||0
48|The Checklist of Species, Hybrids and Cultivars of the Genus Fuschia.|Boullemier. L.||2|1|Merely a list of names and the occasional elaboration.|Blandford Press|1985|0-7137-1781-5|0
49|Shrubs for the Milder Counties.|Arnold-Forster.||3|0|Trees and shrubs that grow well in Cornwall and other mild areas of Britain. Fairly good, a standard reference book.||||0
50|Flora Europaea|?||5|0|An immense work in 6 volumes (including the index). The standard reference flora for europe, it is very terse though and with very little extra information. Not for the casual reader.|Cambridge University Press|1964|-|0
51|Flowers of the Himalayas.|Polunin. O. and Stainton. A.||5|0|A very readable and good pocket guide (if you have a very large pocket!) to many of the wild plants in the Himalayas. Gives many examples of plant uses.|Oxford Universtiy Press|1984|-|0
52|Salads all the Year Round.|Larkcom. J.||4|1|A good and comprehensive guide to temperate salad plants, with full organic details of cultivation.|Hamlyn|1980||0
53|The Wild Garden.|De. Bray. L.||3|1|Interesting reading.||||0
54|How to Enjoy your Weeds.|Hatfield. A. W.||3|1|Interesting reading.|Frederick Muller Ltd|1977|0-584-10141-4|0
55|Eat the Weeds.|Harris. B. C.||3|1|Interesting reading.|Pivot Health|1973|-|0
56|Complete Guide to Water Plants.|Muhlberg. H.||4|1|Deals with a wide range of plants for temperate areas (and indoor aquaria) with quite a lot of information on cultivation techniques.|E. P. Publishing Ltd.|1982|0-7158-0789-7|0
57|Plants for Man.|Schery. R. W.||3|0|Fairly readable but not very comprehensive. Deals with plants from around the world.||||1
58|Flora of Japan. (English translation)|Ohwi. G.||5|0|The standard work. Brilliant, but not for the casual reader.|Smithsonian Institution|1965|-|0
59|Trees and Shrubs in Cornwall.|Thurston.||3|0|Trees and shrubs that succeed in Cornwall based on the authors own observations. Good but rather dated.||||0
60|Vascular Plants of the Pacific Northwest.|Hitchcock. C. L.||5|0|A standard flora for Western N. America with lots of information on habitat etc. Five large volumes, it is not for the casual reader.|University of Washington Press|1955|-|0
61|A Dictionary of Plants Used by Man.|Usher. G.||5|0|Forget the sexist title, this is one of the best books on the subject. Lists a very extensive range of useful plants from around the world with very brief details of the uses. Not for the casual reader.|Constable|1974|0094579202|0
62|A Field Guide to N. American Edible Wild Plants.|Elias. T. and Dykeman. P.||4|0|Very readable.|Van Nostrand Reinhold|1982|0442222009|0
63|Nuts.|Howes. F. N.||5|1|Rather old but still a masterpiece. Has sections on tropical and temperate plants with edible nuts plus a section on nut plants in Britain. Very readable.|Faber|1948|-|0
64|Vegetable Gums and Resins.|Howes. F. N.||4|0|A very good book dealing with the subject in a readable way.|Faber|||1
65|A Colour Atlas of Poisonous Plants.|Frohne. D. and Pfänder. J.||5|0|Brilliant. Goes into technical details but in a very readable way. The best work on the subject that I've come across so far.|Wolfe|1984|0723408394|0
66|From Agar to Zenery.|Freethy. R.||4|0|Very readable, giving details on plant uses based on the authors own experiences.|The Crowood Press|1985|0-946284-51-2|0
67|Berberis and Mahonia.|Ahrendt.||3|0|Not for the casual reader, it lists all the known species in these two genera together with botanic descriptions and other relevant details for the botanist.|Journal of the Linnean Society, 57|1961|-|0
68|Mushrooms and other Fungi of Great Britain and Europe.|Phillips. R.||5|1|Excellent photographs, it also gives details of habitats and edibility.|Pan|1981|0-330-24441-9|0
69|Flora of Tierra del Fuego.|Moore. D. M.||5|0|Standard work for this part of S. America. Excellent details of habitat and a few notes on plant uses.|Anthony Nelson.|1983|0-904614-05-0|0
70|Lichens for Vegetable Dyeing.|Bolton. E.||4|0|A small but interesting book for the casual reader and the enthusiast.|Studio Vista|1972|0-289-70288-7|0
71|A California Flora.|Munz.||4|0|An excellent flora but no pictures. Not for the casual reader.|University of California Press|1959|-|0
72|Manual of the Southeastern Flora.|Small.||4|0|Getting rather dated now, it covers Southeastern N. America. No pictures, it is not for the casual reader.||||0
73|Flora of the Cape Peninsula.|Adamson. and Salter.||2|0|A good flora but rather short on details of habitat. Not for the casual reader.||||0
74|Flora of the USSR.|Komarov. V. L.||5|0|An immense (25 or more large volumes) and not yet completed translation of the Russian flora. Full of information on plant uses and habitats but heavy going for casual readers.|Israel Program for Scientific Translation|1968|-|0
75|Shelter Trees and Hedges.|Rosewarne experimental horticultural station.||5|1|A small booklet packed with information on trees and shrubs for hedging and shelterbelts in exposed maritime areas.|Ministry of Agriculture, Fisheries and Food|1984|-|0
76|Poisonous Plants in Britain and their Effects on Animals and Man.|Cooper. M. and Johnson. A.||2|1|Concentrates mainly on the effects of poisonous plants to livestock.|HMSO|1984|0112425291|0
77|Eucalypts. (2 volumes.)|Kelly. S.||3|0|A very readable book (in two volumes) on the many species of Eucalyptus trees in Australia.|Nelson, Melbourne|1969|-|0
78|Propagation of Trees, Shrubs and Conifers.|Sheat. W. G.||4|1|A bit dated but a good book on propagation techniques with specific details for a wide range of plants.|MacMillan and Co|1948|-|0
79|The World of Iridaceae|Innes. C.||3|0|Deals with many of the plants in the Iris family giving brief details of habitat and notes on cultivation. Well illustrated.||||0
80|Hardy Woody Plants from Seed.|McMillan-Browse. P.||5|1|Does not deal with many species but it is very comprehensive on those that it does cover. Not for casual reading.|Grower Books|1985|0-901361-21-6|0
81|Conifers.|Rushforth. K.||4|1|Deals with conifers that can be grown outdoors in Britain. Good notes on cultivation and a few bits about plant uses.|Christopher Helm|1987|0-7470-2801-X|0
82|Manual of the Trees of N. America.|Sargent. C. S.||4|1|Two volumes, a comprehensive listing of N. American trees though a bit out of date now. Good details on habitats, some details on plant uses. Not really for the casual reader.|Dover Publications Inc. New York.|1965|0-486-20278-X|0
83|Handbook of Cultivated Sedums.|Evans. R. L.||3|0|Deals with the genus Sedum. Fairly easy reading, it gives cultivation details and some notes on habitats.|Science Reviews|1983|-|0
84|A Field Guide to the Common and Interesting Plants of Baja California.|Coyle. J. and Roberts. N. C.||4|0|A very readable pocket flora with good illustrations, it gives quite a few plant uses.|Natural History Publishing Co.|1975|-|0
85|Edible Native Plants of the Rocky Mountains.|Harrington. H. D.||5|1|A superb book. Very readable, it gives the results of the authors experiments with native edible plants.|University of New Mexico Press|1967|0-8623-0343-9|0
86|Gourds.|Organ. J.||4|1|Deals with squashes and their relatives. Interesting and readable, it gives cultivation techniques and some details of plant uses.|Faber|1963|-|0
87|Green Manures.|Woodward. L. Burge. P.||4|1|Green manure crops for temperate areas. Quite a lot of information on a number of species.|Elm Farm Research Centre.|1982|-|0
88|The Garden. Volume 112.|RHS.||3|1|Snippets of information from the magazine of the RHS. In particular, there are articles on plants that are resistant to honey fungus, oriental vegetables, Cimicifuga spp, Passiflora species and Cucurbits.|Royal Horticultural Society|1987|-|0
89|Flowers of the Mediterranean.|Polunin. O. and Huxley. A.||5|1|A very readable pocket flora that is well illustrated. Gives some information on plant uses.|Hogarth Press|1987|0-7012-0784-1|1
90|Bulbs|Phillips. R. and Rix. M.||5|0|Superbly illustrated, it gives brief details on cultivation and native habitat.|Pan Books|1989|0-330-30253-1|0
91|Alpine Plants of China.|Zhang Jingwei.||4|0|A lovely book with nice pictures. Gives habitats and some details of plant uses.|Gordon & Breach. New York.|1982|0-677-60190-5|0
92|Early Uses of Californian Plants.|Balls. E. K.||3|0|A nice readable book.|University of California Press|1975|0-520-00072-2|0
93|Flora of Turkey.|Davis. P. H.||4|0|Not for the casual reader, this is an immense work in many volumes. Some details of plant uses and habitats.|Edinburgh University Press|1965|-|0
94|Common Edible and Useful Plants of the West.|Sweet. M.||4|0|Useful wild plants in Western N. America. A pocket guide.|Naturegraph Co.|1962|0-911010-54-8|0
95|Edible and Useful Wild Plants of the United States and Canada.|Saunders. C. F.||4|1|Useful wild plants of America. A pocket guide.|Dover Publications|1976|0-486-23310-3|0
96|Seaweed - A Users Guide.|Surey-Gent. S. and Morris. G.||4|1|Covers seaweeds of Britain. A good coverage of when and what to eat plus some other uses.||||0
97|The Ethno-Botany of Pre-Columbian Peru.|Towle. M. A.||3|0|A very interesting book covering quite a lot of information on plant uses in S. America although many of the plants are not suitable for temperate areas..||||0
98|Seed Manual for Ornamental Trees and Shrubs.|Gordon. A. G. and Rowe. D. C. f.||4|0|Very comprehensive guide to growing trees and shrubs from seed. Not for the casual reader.||||0
99|Plants in British Columbian Indian Technology.|Turner. N. J.||4|1|Excellent and readable guide.|British Columbia Provincial Museum|1979|0-7718-8117-7|0
100|Flowers of Europe - A Field Guide.|Polunin. O.||5|0|An excellent and well illustrated pocket guide for those with very large pockets. Also gives some details on plant uses.|Oxford University Press|1969|0192176218|1
101|Edible Wild Fruits and Nuts of Canada.|Turner. N. J. and Szczawinski. A.||4|1|A very readable guide to some wild foods of Canada.|National Museum of Natural Sciences|1978|-|0
102|Native Harvests.|Kavasch. B.||4|1|Another guide to the wild foods of America.|Vintage Books|1979|0-394-72811-4|0
103|Flowering Plants of the World.|Haywood. V. H.||5|1|Very readable and well illustrated, it lists plants by families giving the basic diagnostic features and some details of plant uses.|Oxford University Press||0-19-217674-9|0
104|The Garden. Volume 111.|RHS.||3|1|Snippets of information from the magazine of the RHS, including an article in Crambe maritima and another on several species thought to be tender that are succeeding in a S. Devon garden.|Royal Horticultural Society|1986|-|0
105|Tanaka's Cyclopaedia of Edible Plants of the World.|Tanaka. T.||5|0|The most comprehensive guide to edible plants I've come across. Only the briefest entry for each species, though, and some of the entries are more than a little dubious. Not for the casual reader.|Keigaku Publishing|1976|-|1
106|The Dictionary of Useful Plants.|Coon. N.||3|0|Interesting reading but short on detail.|Rodale Press|1975|0-87857-090-x|0
107|A Key to Eucalypts in Britain and Ireland.|Brooker. M. I.||3|1|A Forestry commission booklet giving details of the more common Eucalyptus species grown in Britain. Good identification guide.|HMSO|1983|0-11-710192-3|0
108|Garden Plants Valuable to Bees.|International Bee Research Association.||3|1|The title says it all.|International Bee Research Association.|1981|-|0
109|Plantae Wilsonae.|Wilson. E. H.||3|0|Details of the palnts collected by the plant collector E. H. Wilson on his travels in China. Gives some habitats. Not for the casual reader.||||0
110|Rubber: Botany, Cultivation and Utilization.|Polhamus. L. G.||2|0|Mainly tropical plants with a small section on temperate plants for rubber.||||0
111|Popular Hardy Perennials.|Sanders. T. W.||2|1|A fairly wide range of perennial plants that can be grown in Britain and how to grow them.|Collingridge|1926|-|0
112|A Summary of the Literature on Milkweeds (Asclepias spp) and their utilization.|Whiting. A. G.||4|0|A technical paper covering the many uses of the genus Asclepias.||||0
113|The Reference Manual of Woody Plant Propagation.|Dirr. M. A. and Heuser. M. W.||4|0|A very detailed book on propagating trees. Not for the casual reader.|Athens Ga. Varsity Press|1987|0942375009|0
114|The Plant Wealth of Iraq.|Chakravarty. H. L.||4|0|It is surprising how many of these plants can be grown in Britain. A very readable book on the useful plants of Iraq.||||0
115|The Useful Plants of Great Britain.|Johnson. C. P.||4|0|Written about a hundred years ago, but still a very good guide to the useful plants of Britain.||||0
116|Oriental Herbs and Vegetables, Vol 39 No. 2.|Brooklyn Botanic Garden||4|1|A small booklet packed with information.|Brooklyn Botanic Garden|1986|-|0
117|The Book of Edible Nuts.|Rosengarten. jnr. F.||5|0|A very readable and comprehensive guide. Well illustrated.|Walker & Co.|1984|0802707699|1
118|Ethnobotany of Western Washington.|Gunther. E.||4|1|A small book, it is a good guide to useful plants in Western N. America.|University of Washington Press|1981|0-295-95258-X|0
119|Cultivated Fruits of Britain.|Roach. F. A.||2|0||Oxford University Press|1985||0
120|The Plantsman. Vol. 2. 1980 - 1981.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants including Billardiera spp, Calochortus spp, Drimys spp.|Royal Horticultural Society|1980|-|0
121|The Plantsman. Vol. 3. 1981 - 1982.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants..|Royal Horticultural Society|1981|-|0
122|The Plantsman. Vol. 1. 1979 - 1980.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants. A good article on the flowering of bamboos.|Royal Horticultural Society|1979|-|0
123|Encyclopaedia Britannica. 15th edition.|?||2|0|It contains a few things of interest to the plant project.||||0
124|The Garden. Volume 113.|RHS.||3|1|Snippets of information from the magazine of the RHS, including details on Podophyllum, Canna and Protea species.|Royal Horticultural Society|1988|-|0
125|The Plantsman. Vol. 5. 1983 - 1984.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants..|Royal Horticultural Society|1983|-|0
126|The Plantsman. Vol. 6. 1984 - 1985.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants including Actinidia and Wisteria species.|Royal Horticultural Society|1984|-|0
127|The Plantsman. Vol. 7. 1985 - 1986.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants..|Royal Horticultural Society|1985|-|0
128|Plants of New Zealand.|Laing. and Blackwell.||3|1|An old flora of New Zealand in a readable style. Some details of plant uses.|Whitcombe and Tombs Ltd|1907|-|0
129|Alpine Garden Society Bulletin. Volume 56.|?||2|1|Excerpts from the periodical. Some details on Corydalis spp.|Alpine Garden Society||-|0
130|The Plantsman. Vol. 4. 1982 - 1983.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants, including Distylium racemosum and some perennial members of the family Berberidaceae.|Royal Horticultural Society|1982|-|0
131|Willows.|Warren-Wren. S. C.||3|0|A readable guide to the willows.|David and Charles|1972|-|0
132|Fruits of the Earth.|Bianchini. F., Corbetta. F. and Pistoia. M.||3|0|Lovely pictures, a very readable book.||||0
133|Growing from Seed. Volume 1.|Rice. G. (Editor)||4|1|Very readable magazine with lots of information on propagation.|Thompson and Morgan.|1987|-|0
134|Growing from Seed. Volume 2.|Rice. G. (Editor)||4|1|Very readable magazine with lots of information on propagation. An interesting article on Ensete ventricosum.|Thompson and Morgan.|1988|-|0
135|The Plantsman. Vol.8. 1986 - 1987.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants including some Cucurbitaceae.|Royal Horticultural Society|1986|-|0
136|Kew Bulletin. 1909|Royal Botanic Gardens, Kew.||3|0|An interesting article on growing wild rice, Zizania aquatica and Z. latifolia.|Royal Botanic Gardens, Kew.|1909|-|0
137|The Plantsman. Vol. 9. 1986 - 1987.|?||3|0|Excerpts from the periodical giving cultivation details and other notes on some of the useful plants including Carya spp and Crocus sativus.|Royal Horticultural Society|1986|-|0
138|Growing from Seed. Volume 3.|Bird. R. (Editor)||4|1|Very readable magazine with lots of information on propagation.|Thompson and Morgan.|1989|-|0
139|Flora of Chile. (in Spanish)|?||3|0|Some information about the useful plants of Chile.||||0
140|Siberian Ginseng.|Kamen. B.||4|0|Detailed information for the lay person on this medicinal plant that is so widely used in the Orient and Russia.||||0
141|Alternative Enterprises for Agriculture in the UK.|Carruthers. S. P. (Editor)||4|0|Some suggested alternative commercial crops for Britain. Readable. Produced by a University study group.|Centre for Agricultural Strategy, Univ. of Reading|1986|0704909820|0
142|Plants Consumed by Man.|Brouk. B.||3|0|Readable but not very comprehensive.|Academic Press|1975|0-12-136450-x|0
143|Lilies - Their Culture and Management.|Woodcock. and Coutts.||3|1|A classic, but dated. Deals with the genus Lilium.|Country Life|1935|-|0
144|Wild Food in Australia.|Cribb. A. B. and J. W.||5|1|A very good pocket guide.|Fontana|1976|0-00-634436-4|0
145|Forest Flora of Srinagar.|Singh. Dr. G. and Kachroo. Prof. Dr. P.||4|1|A good flora of the western Himalayas but poorly illustrated. Some information on plant uses.|Bishen Singh Mahendra Pal Singh|1976|-|0
146|A Manual of Indian Timbers.|Gamble. J. S.||5|1|Written last century, but still a classic, giving a lot of information on the uses and habitats of Indian trees. Not for the casual reader.|Bishen Singh Mahendra Pal Singh|1972|-|0
147|A Barefoot Doctors Manual.|?||5|1|A very readable herbal from China, combining some modern methods with traditional chinese methods.|Running Press||0-914294-92-X|0
148|Herbs of Greece.|Niebuhr. A. D.||3|0|A pleasant little book about Greek herbs.|Herb Society of America.|1970|-|0
149|Trees of Central Texas.|Vines. R. A.||4|0|Fairly readable, it gives details of habitats and some of the uses of trees growing in Texas.|University of Texas Press|1987|0-292-78958-3|0
150|Handbook of the Rubi of Great Britain and Ireland.|Watson. W. C. R.||2|0|There are hundreds of slightly differing species of the common blackberry growing in Britain. This is a book for the dedicated.||||0
151|Corean Flora.|Wilson. E. H. and Trollope. M. N.||2|0|A very small handbook, it does give a little bit of information on Korean plants.|Royal Asiatic Society|1918|-|0
152|Australian Medicinal Plants.|Lassak. E. V. and McCarthy. T.||4|0|A very good and readable guide to the subject.||||0
153|Economic Native Plants of New Zealand.|Brooker. S. G., Cambie. R. C. and Cooper. R. C.||3|0|An interesting and readable book on the useful plants of New Zealand.|Oxford University Press|1991|0-19-558229-2|0
154|Flora of Victoria.|Ewart. A. J.||1|0|A flora of eastern Australia, it is rather short on information that is useful to the plant project.||||0
155|Flowers of the Southwest Mountains.|Arnberger. L. P.||3|0|A lovely little pocket guide to wild plants in the southern Rockies of America.|Southwestern Monuments Ass.|1968|-|0
156|Useful Wild Plants in Australia.|Cribb. A. B. and J. W.||5|1|A very readable book.|William Collins Pty Ltd. Sidney|1981|0-00-216441-8|0
157|Australian Native Plants.|Wrigley. J. W. and Fagg. M.||3|0|A lovely book, written in order to encourage Australian gardeners to grow their native plants. A little bit of information for the plant project.|Collins. (Australia)|1988|0-7322-0021-0|0
158|Forest Flora of Chakrata, Dehra Dun and Saharanpur.|Gupta. B. L.||4|1|A good flora for the middle Himalayan forests, sparsly illustrated. Not really for the casual reader.|Forest Research Institute Press|1945|-|0
159|Wild Food Plants of Indiana.|McPherson. A. and S.||4|1|A nice pocket guide to this region of America.|Indiana University Press|1977|0-253-28925-4|0
160|Wonder Crops. 1987.|Natural Food Institute,||3|1|Fascinating reading, this is an annual publication. Some reports do seem somewhat exaggerated though.||||0
161|Food Plants of the N. American Indians. Publication no. 237.|Yanovsky. E.||4|1|A comprehensive but very terse guide. Not for the casual reader.|U.S. Depf of Agriculture.||-|0
162|Ornamental Grasses.|Grounds. R.||3|1|Cultivation details of many of the grasses and bamboos. Well illustrated.|Christopher Helm|1989|0-7470-1219-9|0
163|Lilies and Related Plants.|RHS Lily Group.||3|1|Lots of interesting snippets about plants in the family Liliaceae (in the old, broad sense)||||0
164|Growing from Seed. Volume 4.|Bird. R. (Editor)||4|1|Very readable magazine with lots of information on propagation. A good article on Yuccas, one on Sagebrush (Artemesia spp) and another on Chaerophyllum bulbosum.|Thompson and Morgan.|1990|-|0
165|The Dictionary of Modern Herbalism.|Mills. S. Y.||5|1|An excellent small herbal.||||0
166|The Milder Garden.|Taylor. J.||4|0|A good book on plants that you didn't know could be grown outdoors in Britain.|Dent|1990||0
167|A Field Guide to Australian Trees.|Holliday. I. and Hill. R.||3|0|A well illustrated and very readable book, but it does not contain much information for the plant project.|Frederick Muller Ltd.|1974|0-85179-627-3|0
168|Nature's Colors - Dyes from Plants.|Grae. I.||4|0|A very good and readable book on dyeing.|MacMillan Publishing Co. New York.|1974|0-02-544950-8|0
169|A Weavers Garden.|Buchanan. R.||4|0|Covers all aspects of growing your own clothes, from fibre plants to dyes.||||0
170|Ground Cherries, Husk Tomatoes and Tomatilloes.|Dremann. C. G.||4|1|Only a small booklet but it covers the various species in some depth.|Redwood City Seed Co|1985|0-933421-03-6|0
171|Economic Botany.|Hill. A. F.||3|1|Not very comprehensive, but it is quite readable and goes into some a bit of detail about the plants it does cover.|The Maple Press|1952|-|1
172|Discovering Wild Plants - Alaska, W. Canada and the Northwest.|Schofield. J. J.||4|1|A nice guide to some useful plants in that area.||||0
173|Native Edible Plants of New Zealand.|Crowe. A.||5|1|A very well written and illustrated book based on the authors own experiments with living on a native diet.|Hodder and Stoughton|1990|0-340-508302|0
174|Atlas of Medicinal Plants.|Kariyone. T.||3|0|A good Japanese herbal.||||0
175|Focus on Plants. Volume 5. (formerly 'Growing from seed')|Bird. R. (Editor)||4|1|Very readable magazine with lots of information on propagation. A good article on Corydalis spp.|Thompson and Morgan.|1991|-|0
176|Handbook of Chinese Herbs and Formulas.|Yeung. Him-Che.||4|1|An excellent Chinese herbal giving information on over 500 species. Rather technical and probably best suited to the more accomplished user of herbs.|Institute of Chinese Medicine, Los Angeles|1985|-|0
177|Plants for Human Consumption.|Kunkel. G.||5|0|An excellent book for the dedicated. A comprehensive listing of latin names with a brief list of edible parts.|Koeltz Scientific Books|1984|3874292169|1
178|Chinese Materia Medica.|Stuart. Rev. G. A.||4|0|A translation of an ancient Chinese herbal. Fascinating.|Taipei. Southern Materials Centre||-|0
